Unnamed: 0,qid,timestamp,ramsey_estimate,overrot,axis,T1,T2
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
,Q0,1731628653.2685606,4.315334424020989e-05,0.2954284709499786,0.006905644113806,9.1e-05,0.00011
,Q1,1731628890.256484,0.0019507742525153,0.0003396633932477,0.0363913490096252,0.00011,4.2e-05
,Q2,1731629202.0588558,0.0033744150796266,0.0095232608308402,0.0418449851744976,0.00012,6.8e-05
,Q0,1731632403.305602,0.0001629820285877,0.2739529983011497,0.0067093479541717,8.7e-05,0.00012
,Q1,1731632590.8923984,0.0025669804234773,0.00094505524235,0.0361960167034124,9e-05,0.0001
,Q2,1731632785.8486476,0.0055046144873003,0.0095168048197096,0.0418448999012254,0.00015,9.1e-05
,Q0,1731634202.016437,0.0001755459138585,-0.0032437150566074,0.0102353961545764,9.42e-05,0.00012
,Q1,1731634386.5162995,0.0026001047032906,0.0009126368315026,0.0370273688239461,9.94e-05,6.3e-05
,Q2,1731634576.9424334,0.0048552610560541,0.0095500916778779,0.0416708892961426,0.00014,6.8e-05
,Q0,1731636002.4829504,-6.553282051946496e-05,0.2929587907236122,0.0073740822577942,8.9e-05,0.00011
,Q1,1731636187.0952125,0.0027866536592924,0.0016262943932894,0.0361386522896752,0.0001,5.6e-05
,Q2,1731636377.6175728,0.0055576181958212,0.0099870540879434,0.0431618546976995,0.000134,8.8e-05
,Q0,1731637802.9388862,2.2241559655356014e-05,-1.6792793227379923,0.06191806282012,8.3e-05,8.8e-05
,Q1,1731638098.4796865,0.002329043156859,0.0022233544161693,0.0362237389185308,8e-05,4.7e-05
,Q2,1731638275.3900075,0.0035227742926267,0.0101891063751031,0.0418919387998211,0.00012,8.6e-05
,Q0,1731639602.6298544,1.0340234300798556e-05,0.3026466592982895,0.0064625738176967,0.000107,0.00012
,Q1,1731639786.7482977,0.0030621171925542,0.0027190209892768,0.0357903046044819,0.00011,7e-05
,Q2,1731639977.3803232,0.0039365965326965,0.0109614560983095,0.0424293878122026,0.00012,8.2e-05
,Q0,1731641402.6123538,-5.1591469499623344e-05,0.2753011010911292,0.0058507858618624,7.8e-05,9.4e-05
,Q1,1731641589.7381008,0.0028116919436822,0.0030600584032971,0.0355940216888701,0.000101,5.9e-05
,Q2,1731641776.3668811,0.0039272159060068,0.0109580798974697,0.0422349301593495,0.00011,4.2e-05
,Q0,1731643202.1775613,-0.0002127375828542,0.3369405905264913,0.0066893082428401,8.5e-05,9.7e-05
,Q1,1731643383.2479784,0.0020690844722199,0.0025009830944049,0.03605638435055,0.00011,5.2e-05
,Q2,1731643546.5187967,0.0035081152214768,0.0110213039165707,0.0412114787256542,0.00011,8.8e-05
,Q0,1731645002.3595552,9.766035888070236e-05,0.3130544613070947,0.0045024429972135,9.09e-05,0.00011
,Q1,1731645166.3648946,0.002162411308813,0.0019735401590637,0.0358779952509491,0.00011,8.9e-05
,Q2,1731645329.6648197,0.0034421180091044,0.0108112815539502,0.0412506302116639,0.000122,3.5e-05
,Q0,1731646802.5290017,-0.0002653958476499,0.2857278277678476,0.0056853271239793,6.8e-05,0.00011
